English,105k,Score,avg8,Score,exp1_5000,Score,exp1_105,Score,exp1_avg8,Score,exp2_500,Score,exp2-500_105,Score,exp2-500_avg8,Score
Define the duration of distance learning units based on students’ self-regulation skills: Keep a coherent timing according to the level of the students’ self-regulation and metacognitive abilities especially for livestreaming classes.,تحديد مدة وحدات التعلم عن بُعد بناءً على مهارات الطلاب في التنظيم الذاتي: الحفاظ على توقيت متماسك وفقاً لمستوى قدرات الطلاب على التنظيم الذاتي والمعرفة وخاصة بالنسبة لفصول البث الحي.,4,تحديد مدة وحدات التعلم عن بعد استناداً إلى مهارات التنظيم الذاتي لدى الطلاب: الحفاظ على توقيت متماسك وفقاً لمستوى التنظيم الذاتي لدى الطلاب والقدرات المعرفية وخاصة بالنسبة لفصول التوجيه الحي.,3,حدِّد مدة وحدات التعليم عن بُعد على أساس مهارات التنظيم الذاتي للطلاب: حافظ على توقيت متماسك وفقاً لمستوى التنظيم الذاتي للطلاب والقدرات المعرفية وخاصة بالنسبة للدروس الحية.,4,تحديد مدة وحدات التعليم عن بُعد بناءً على مهارات التنظيم الذاتي للطلاب: الحفاظ على توقيت متماسك وفقًا لمستوى التنظيم الذاتي للطلاب والقدرات المعرفية وخاصة لفصول البث الحي.,4,تحديد مدة وحدات التعليم عن بُعد بناءً على مهارات التنظيم الذاتي للطلاب: الحفاظ على توقيت متماسك وفقًا لمستوى التنظيم الذاتي للطلاب والقدرات المعرفية وخاصة بالنسبة لفصول البث الحي.,4,تحديد مدة وحدات التعلم عن بعد على أساس مهارات التنظيم الذاتي للطلاب: الحفاظ على توقيت متماسك وفقًا لمستوى التنظيم الذاتي للطلاب والقدرات المعرفية وخاصة لفصول البث الحي.,4,تحديد مدة وحدات التعلم عن بعد بناءً على مهارات التنظيم الذاتي للطلاب: الحفاظ على توقيت متماسك وفقًا لمستوى التنظيم الذاتي للطلاب وقدراتهم المعرفية وخاصة لفصول البث الحي.,4,تحديد مدة وحدات التعلم عن بعد بناءً على مهارات التنظيم الذاتي للطلاب: الحفاظ على توقيت متماسك وفقًا لمستوى التنظيم الذاتي والقدرات المعرفية للطلاب وخاصة لفصول البث الحي.,4
"Finally, for some underlying health conditions and risk factors, including neurologic disorders, chronic liver disease, being a current smoker, and pregnancy, few severe outcomes were reported; therefore, conclusions cannot be drawn about the risk for severe COVID-19 among persons in these groups.",وأخيرا، بالنسبة لبعض الظروف الصحية الأساسية وعوامل الخطر، بما في ذلك الاضطرابات العصبية، وأمراض الكبد المزمنة، وكونها مدخنة حاليًا، والحمل، لم يتم الإبلاغ إلا عن القليل من النتائج الشديدة؛ وبالتالي لا يمكن استخلاص استنتاجات حول خطر الإصابة بفيروس كورونا الحاد بين الأشخاص في هذه المجموعات.,3,وأخيرا، بالنسبة لبعض الظروف الصحية الأساسية وعوامل الخطر، بما في ذلك الاضطرابات العصبية، وأمراض الكبد المزمنة، كونها مدخنة حاليًا، والحمل، تم الإبلاغ عن عدد قليل من النتائج الشديدة؛ لذلك، لا يمكن استخلاص استنتاجات حول خطر فيروس كورونا الحاد بين الأشخاص في هذه المجموعات.,3,وأخيراً، بالنسبة لبعض الحالات الصحية الكامنة وعوامل الخطر، بما في ذلك الاضطرابات العصبية، وأمراض الكبد المزمنة، وكونها مدخنة حالية، والحمل، تم الإبلاغ عن عدد قليل من النتائج الحادة؛ وبالتالي، لا يمكن استخلاص استنتاجات حول خطر الإصابة بمرض كوفيد-19 الحاد بين الأشخاص في هذه الفئات.,3,وأخيراً، بالنسبة لبعض الحالات الصحية الأساسية وعوامل الخطر، بما في ذلك الاضطرابات العصبية، ومرض الكبد المزمن، وكونه مدخنًا حاليًا، والحمل، تم الإبلاغ عن عدد قليل من النتائج الحادة؛ وبالتالي، لا يمكن استخلاص استنتاجات حول خطر الإصابة بكوفيد-19 الحاد بين الأشخاص في هذه الفئات.,3,وأخيرا، بالنسبة لبعض الحالات الصحية الأساسية وعوامل الخطر، بما في ذلك الاضطرابات العصبية، ومرض الكبد المزمن، وكونه مدخنًا حاليًا، والحمل، تم الإبلاغ عن عدد قليل من النتائج الحادة؛ وبالتالي، لا يمكن استخلاص استنتاجات حول خطر الإصابة بكوفيد-19 الحاد بين الأشخاص في هذه الفئات.,3,وأخيرا، بالنسبة لبعض الحالات الصحية الأساسية وعوامل الخطر، بما في ذلك الاضطرابات العصبية، ومرض الكبد المزمن، وكونه مدخنًا حاليًا، والحمل، تم الإبلاغ عن عدد قليل من النتائج الشديدة؛ وبالتالي، لا يمكن استخلاص استنتاجات حول خطر الإصابة بفيروس كورونا الحاد بين الأشخاص في هذه المجموعات.,3,وأخيرا، بالنسبة لبعض الحالات الصحية الأساسية وعوامل الخطر، بما في ذلك الاضطرابات العصبية، وأمراض الكبد المزمنة، وكونها مدخنة حالية، والحمل، تم الإبلاغ عن عدد قليل من النتائج الشديدة؛ وبالتالي، لا يمكن استخلاص استنتاجات حول خطر الإصابة بفيروس كورونا الحاد بين الأشخاص في هذه المجموعات.,3,وأخيرا، بالنسبة لبعض الحالات الصحية الأساسية وعوامل الخطر، بما في ذلك الاضطرابات العصبية، وأمراض الكبد المزمنة، وكونها مدخنة حاليًا، والحمل، تم الإبلاغ عن عدد قليل من النتائج الشديدة؛ لذلك، لا يمكن استخلاص استنتاجات حول خطر الإصابة بفيروس كورونا الحاد بين الأشخاص في هذه المجموعات.,3
"A UN Crisis Management Team was activated as a result, allowing coordination of the entire United Nations response, which the WHO states will allow them to ""focus on the health response while the other agencies can bring their expertise to bear on the wider social, economic and developmental implications of the outbreak"".","ونتيجة لذلك، تم تفعيل فريق إدارة الأزمات التابع للأمم المتحدة، مما سمح بتنسيق استجابة الأمم المتحدة بأكملها، والتي تسمح لها الولايات التابعة لمنظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين يمكن للوكالات الأخرى أن تقدم خبراتها للتأثير على الآثار الاجتماعية والاقتصادية والإنمائية الأوسع لتفشي المرض"".",4,"ونتيجة لذلك، تم تفعيل فريق الأمم المتحدة لإدارة الأزمات، مما سمح بتنسيق استجابة الأمم المتحدة بأكملها، والتي تسمح لها ولايات منظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين يمكن للوكالات الأخرى أن تقدم خبراتها للتأثير على الآثار الاجتماعية والاقتصادية والإنمائية الأوسع نطاقاً لتفشي المرض"".",4,"ونتيجة لذلك، تم تفعيل فريق إدارة الأزمات في الأمم المتحدة، مما يسمح بتنسيق استجابة الأمم المتحدة بأكملها، وهو ما ستسمح له دول منظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين يمكن للوكالات الأخرى الاستفادة من خبرتها للتأثير على الآثار الاجتماعية والاقتصادية والإنمائية الأوسع لتفشي الفيروس"".",4,"ونتيجة لذلك، تم تفعيل فريق إدارة الأزمات التابع للأمم المتحدة، مما سمح بتنسيق استجابة الأمم المتحدة بأكملها، والتي ستسمح لها دول منظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين يمكن للوكالات الأخرى أن تقدم خبرتها للتأثير على الآثار الاجتماعية والاقتصادية والإنمائية الأوسع لتفشي المرض"".",4,"ونتيجة لذلك، تم تفعيل فريق إدارة الأزمات التابع للأمم المتحدة، مما يسمح بتنسيق استجابة الأمم المتحدة بأكملها، والتي ستسمح لها دول منظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين يمكن للوكالات الأخرى أن تجلب خبراتها للتأثير على الآثار الاجتماعية والاقتصادية والإنمائية الأوسع لتفشي المرض"".",4,"ونتيجة لذلك، تم تنشيط فريق إدارة الأزمات التابع للأمم المتحدة، مما يسمح بتنسيق استجابة الأمم المتحدة بأكملها، والتي سوف تسمح لها الولايات التابعة لمنظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين أن الوكالات الأخرى يمكن أن تقدم خبراتها للتأثير على الآثار الاجتماعية والاقتصادية والإنمائية الأوسع لتفشي المرض"".",4,"تم تنشيط فريق إدارة الأزمات التابع للأمم المتحدة نتيجة لذلك، مما يسمح بتنسيق استجابة الأمم المتحدة بأكملها، والتي سوف تسمح لها دول منظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين أن الوكالات الأخرى يمكن أن تقدم خبراتها للتأثير على الآثار الاجتماعية والاقتصادية والإنمائية الأوسع لتفشي المرض"".",4,"ونتيجة لذلك، تم تنشيط فريق الأمم المتحدة لإدارة الأزمات، مما يسمح بتنسيق استجابة الأمم المتحدة بأكملها، والتي سوف تسمح لها ولايات منظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين أن الوكالات الأخرى يمكن أن تجلب خبراتها للتأثير على الآثار الاجتماعية والاقتصادية والإنمائية الأوسع لتفشي المرض"".",4
"For COVID-19, we will create a new request form that will record:",بالنسبة لـ COVID-19 ، سنقوم بإنشاء نموذج طلب جديد يسجل:,4,بالنسبة لـ COVID-19 ، سنقوم بإنشاء نموذج طلب جديد يسجل:,4,بالنسبة لكوفيد-19، سنقوم بإنشاء نموذج طلب جديد يسجل:,4,بالنسبة لكوفيد-19، سنقوم بإنشاء نموذج طلب جديد يسجل:,4,بالنسبة لكوفيد-19، سنقوم بإنشاء نموذج طلب جديد يسجل:,4,بالنسبة لـ COVID-19 ، سوف نقوم بإنشاء نموذج طلب جديد يسجل:,4,بالنسبة لـ COVID-19 ، سوف نقوم بإنشاء نموذج طلب جديد يسجل:,4,بالنسبة لـ COVID-19 ، سنقوم بإنشاء نموذج طلب جديد يسجل:,4
"In addition, the maintenance of electrolyte balance, the prevention and treatment of secondary infection and septic shock, and the protection of the functions of the vital organs are also essential for SARS-CoV-2 patients.",وبالإضافة إلى ذلك، فإن الحفاظ على توازن الإلكتروليت، والوقاية والعلاج من العدوى الثانوية والصدمة الإنتانية، وحماية وظائف الأعضاء الحيوية هي أيضا أمور أساسية بالنسبة لمرضى سارس - CoV-2.,3,وبالإضافة إلى ذلك، فإن الحفاظ على توازن الإلكتروليت، والوقاية من العدوى الثانوية وعلاجها، وصدمة التحلل، وحماية وظائف الأعضاء الحيوية، هي أيضا أمور أساسية بالنسبة لمرضى السارس - CoV-2.,2,بالإضافة إلى ذلك، فإن الحفاظ على ميزان الشوارد، والوقاية والعلاج من العدوى الثانوية والصدمة الحاجزة، وحماية وظائف الأعضاء الحيوية هي أيضا ضرورية لمرضى سارس-كوف-2.,2,بالإضافة إلى ذلك، فإن الحفاظ على توازن الكهرل، والوقاية والعلاج من العدوى الثانوية والصدمة الإنتانية، وحماية وظائف الأعضاء الحيوية هي أيضا ضرورية لمرضى سارس-كوف-2.,3,بالإضافة إلى ذلك، فإن الحفاظ على توازن الشوارد الكهربائية، والوقاية والعلاج من العدوى الثانوية والصدمة الإنتانية، وحماية وظائف الأعضاء الحيوية هي أيضا ضرورية لمرضى سارس-كوف-2.,4,بالإضافة إلى ذلك، فإن الحفاظ على توازن الإلكتروليت، والوقاية والعلاج من العدوى الثانوية والصدمة الإنتانية، وحماية وظائف الأعضاء الحيوية هي أيضا أساسية لمرضى سارس-كوف-2.,3,بالإضافة إلى ذلك، فإن الحفاظ على توازن الإلكتروليت، والوقاية والعلاج من العدوى الثانوية والصدمة الإنتانية، وحماية وظائف الأعضاء الحيوية هي أيضا أساسية لمرضى سارس-كوف-2.,3,بالإضافة إلى ذلك، فإن الحفاظ على توازن الإلكتروليت، والوقاية والعلاج من العدوى الثانوية والصدمة التفسخية، وحماية وظائف الأعضاء الحيوية هي أيضاً ضرورية لمرضى سارس-كوف-2.,2
Around 200 countries and territories have had at least one case.,وهناك نحو 200 بلد وإقليم لديها حالة واحدة على الأقل.,4,وهناك نحو 200 بلد وإقليم لديها حالة واحدة على الأقل.,4,وقد شهد نحو 200 بلد وإقليم حالة واحدة على الأقل.,4,وقد شهد نحو 200 بلد وإقليم حالة واحدة على الأقل.,4,وكان لدى حوالي 200 بلد وإقليم حالة واحدة على الأقل.,4,حوالي 200 دولة وإقليم كان لديها حالة واحدة على الأقل.,4,وقد شهد نحو 200 بلد وإقليم حالة واحدة على الأقل.,4,وهناك نحو 200 بلد وإقليم لديها حالة واحدة على الأقل.,4
"Other forms of passive antibody therapy, for example, using manufactured monoclonal antibodies, are in development.",ويجري تطوير أشكال أخرى من العلاج السلبي للأجسام المضادة، على سبيل المثال، باستخدام الأجسام المضادة الأحادية النسيلة المصنعة.,3,ويجري تطوير أشكال أخرى من العلاج السلبي للأجسام المضادة، على سبيل المثال، باستخدام الأجسام المضادة الأحادية النسيلة المصنعة.,3,ويجري تطوير أشكال أخرى من العلاج السلبي بالأجسام المضادة، على سبيل المثال، باستخدام الأجسام المضادة الأحادية النسيلة المصنعة.,4,ويجري تطوير أشكال أخرى من العلاج السلبي للأجسام المضادة، على سبيل المثال، باستخدام الأجسام المضادة الأحادية النسيلة المصنعة.,3,ويجري تطوير أشكال أخرى من العلاج السلبي للأجسام المضادة، على سبيل المثال، باستخدام الأجسام المضادة الأحادية النسيلة المصنعة.,3,ويجري تطوير أشكال أخرى من العلاج المضاد السلبي، على سبيل المثال، باستخدام الأجسام المضادة الأحادية النسيلة المصنعة.,3,ويجري تطوير أشكال أخرى من العلاج السلبي للأجسام المضادة، على سبيل المثال، باستخدام الأجسام المضادة الأحادية النسيلة المصنعة.,3,ويجري تطوير أشكال أخرى من العلاج السلبي للأجسام المضادة، على سبيل المثال، باستخدام الأجسام المضادة الأحادية النسيلة المصنعة.,3
"Generally this test is carried out on a nasopharyngeal swab though a throat swab may also be used.A number of laboratories and companies are developing serological tests, which detect antibodies.",يتم إجراء هذا الاختبار بشكل عام على مسحة البلعوم على الرغم من أن مسحة الحلق يمكن استخدامها أيضًا.,1,ويجري هذا الاختبار عموماً على مسحة من الأنف البلعومي على الرغم من إمكانية استخدام مسحة من الحلق أيضاً.,2,يتم إجراء هذا الاختبار بشكل عام على مسحة بلعومية أنفية على الرغم من أن مسحة الحلق قد تستخدم أيضًا.,2,ويتم إجراء هذا الاختبار بشكل عام على مسحة من البلعوم الأنفية على الرغم من أنه يمكن استخدام مسحة من الحلق أيضًا.,2,ويتم إجراء هذا الاختبار بشكل عام على مسحة من البلعوم الأنفية على الرغم من أنه يمكن استخدام مسحة من الحلق أيضا.,2,يتم إجراء هذا الاختبار بشكل عام على مسحة البلعوم على الرغم من أنه قد يتم استخدام مسحة الحلق أيضا.,1,يتم إجراء هذا الاختبار بشكل عام على مسحة البلعوم على الرغم من أن مسحة الحلق يمكن استخدامها أيضًا. يقوم عدد من المختبرات والشركات بتطوير اختبارات مصلية، والتي تكشف الأجسام المضادة.,3,يتم إجراء هذا الاختبار بشكل عام على مسحة البلعوم على الرغم من أن مسحة الحلق يمكن استخدامها أيضًا. يقوم عدد من المختبرات والشركات بتطوير اختبارات مصلية، والتي تكشف الأجسام المضادة.,3
This will be followed by 800 samples monthly.,وسيعقب ذلك 800 عينة شهريا.,4,وسيعقب ذلك 800 عينة شهريا.,4,وسيعقب ذلك 800 عينة شهريًا.,4,وسيعقب ذلك 800 عينة شهريا.,4,وسيعقب ذلك 800 عينة شهريا.,4,وسيعقب ذلك 800 عينة شهريا.,4,وسيعقب ذلك 800 عينة شهريا.,4,وسيعقب ذلك 800 عينة شهريا.,4
At that time most people still believed that infections were caused by foul odors called miasmas.,في ذلك الوقت كان معظم الناس يعتقدون أن العدوى كانت بسبب رائحة كريهة تسمى ميازماس,4,في ذلك الوقت كان معظم الناس لا يزالون يعتقدون أن العدوى سببها رائحة كريهة تسمى ميازماس.,4,في ذلك الوقت لا يزال معظم الناس يعتقدون أن العدوى كانت ناتجة عن الروائح الكريهة التي تسمى ميازماس.,4,في ذلك الوقت كان معظم الناس لا يزالون يعتقدون أن العدوى ناتجة عن الروائح الكريهة التي تسمى ميازماس.,4,في ذلك الوقت كان معظم الناس لا يزالون يعتقدون أن العدوى كانت سببها الروائح الكريهة التي تسمى ميازماس.,4,في ذلك الوقت كان معظم الناس لا يزالون يعتقدون أن الالتهابات كانت سببها رائحة كريهة تسمى ميازماس.,4,في ذلك الوقت كان معظم الناس لا يزالون يعتقدون أن العدوى كانت سببها رائحة كريهة تسمى ميازماس.,4,في ذلك الوقت كان معظم الناس لا يزالون يعتقدون أن العدوى كانت سببها رائحة كريهة تسمى ميازماس.,4
"Immunity is seen as likely, based on the behaviour of other coronaviruses, but cases in which recovery from COVID-19 have been followed by positive tests for coronavirus at a later date have been reported.",يُنظر إلى الحصانة على أنها محتملة، بناءً على سلوك الفيروسات التاجية الأخرى، ولكن تم الإبلاغ عن الحالات التي تبعها التعافي من كوفيد-19 اختبارات إيجابية لفيروس كورونا في وقت لاحق.,3,يُنظر إلى الحصانة على أنها محتملة، بناءً على سلوك فيروسات التاجية الأخرى، ولكن تم الإبلاغ عن الحالات التي أعقب فيها التعافي من كوفيد-19 اختبارات إيجابية للفيروس التاجي في تاريخ لاحق.,3,يُنظر إلى المناعة على أنها محتملة، على أساس سلوك فيروسات كورونا الأخرى، ولكن تم الإبلاغ عن الحالات التي تم فيها التعافي من كوفيد-19 من خلال إجراء اختبارات إيجابية لفيروس كورونا في وقت لاحق.,2,يُنظر إلى الحصانة على أنها محتملة، بناءً على سلوك فيروسات كورونا الأخرى، ولكن تم الإبلاغ عن الحالات التي تم فيها التعافي من كوفيد-19 وإجراء اختبارات إيجابية لفيروس كورونا في وقت لاحق.,3,يُنظر إلى الحصانة على أنها محتملة، على أساس سلوك فيروسات كورونا الأخرى، ولكن تم الإبلاغ عن الحالات التي تم فيها التعافي من كوفيد-19 من خلال اختبارات إيجابية لفيروس كورونا في وقت لاحق.,2,يُنظر إلى الحصانة على أنها محتملة، على أساس سلوك فيروسات كورونا الأخرى، ولكن تم الإبلاغ عن الحالات التي تبعها التعافي من كوفيد-19 اختبارات إيجابية لفيروس كورونا في وقت لاحق.,3,يُنظر إلى الحصانة على أنها محتملة، بناءً على سلوك فيروسات كورونا الأخرى، ولكن تم الإبلاغ عن الحالات التي تبعها التعافي من كوفيد-19 اختبارات إيجابية لفيروس كورونا في وقت لاحق.,3,يُنظر إلى الحصانة على أنها محتملة ، بناءً على سلوك فيروسات كورونا الأخرى ، ولكن تم الإبلاغ عن الحالات التي أعقب فيها التعافي من كوفيد-19 اختبارات إيجابية لفيروس كورونا في وقت لاحق.,3
Antibacterial soaps have been heavily promoted to a health-conscious public.,تم الترويج للصابون المضاد للبكتيريا بشكل كبير إلى الجمهور الواعي بالصحة.,4,تم الترويج للصابون المضاد للبكتيريا بشكل كبير إلى الجمهور الواعي بالصحة.,4,وقد تم الترويج بشكل كبير للصابون المضاد للبكتيريا إلى جمهور واعٍ للصحة.,4,تم الترويج للصابون المضاد للبكتيريا بشكل كبير إلى الجمهور الواعي بالصحة.,4,تم الترويج للصابون المضاد للبكتيريا بشكل كبير إلى الجمهور الواعي بالصحة.,4,تم الترويج للصابون المضاد للبكتيريا بشكل كبير إلى الجمهور الواعي بالصحة.,4,تم الترويج للصابون المضاد للبكتيريا بشكل كبير إلى الجمهور الواعي بالصحة.,4,تم الترويج للصابون المضاد للبكتيريا بشكل كبير للجمهور الواعي بالصحة.,4
"Data on presence or absence of underlying health conditions and other recognized risk factors for severe outcomes from respiratory infections (i.e., smoking and pregnancy) were available for 7,162 (5.8%) patients (Table 1).",والبيانات المتعلقة بوجود أو غياب الظروف الصحية الأساسية وغيرها من عوامل الخطر المعترف بها بالنسبة للنتائج الحادة الناجمة عن التهابات الجهاز التنفسي (أي التدخين والحمل) كانت متاحة لـ 162 7 مريضا (5.8 في المائة) (الجدول 1).,3,وكانت البيانات المتعلقة بوجود أو عدم وجود ظروف صحية أساسية وعوامل الخطر الأخرى المعترف بها بالنسبة للنتائج الحادة الناجمة عن التهابات الجهاز التنفسي (أي التدخين والحمل) متاحة لـ 162 7 مريضا (5.8 في المائة) (الجدول 1).,3,"تم توفير بيانات حول وجود أو عدم وجود حالات صحية كامنة وعوامل خطر أخرى معترف بها للنتائج الحادة من التهابات الجهاز التنفسي (أي التدخين والحمل) لـ 7,162 (5.8%) من المرضى (الجدول 1).",3,وكانت البيانات المتعلقة بوجود أو عدم وجود حالات صحية كامنة وعوامل خطر أخرى معترف بها للنتائج الحادة الناجمة عن التهابات الجهاز التنفسي (أي التدخين والحمل) متاحة لـ 162 7 (5.8 في المائة) من المرضى (الجدول 1).,3,وكانت البيانات المتعلقة بوجود أو عدم وجود حالات صحية كامنة وعوامل خطر أخرى معترف بها للنتائج الحادة الناجمة عن التهابات الجهاز التنفسي (أي التدخين والحمل) متاحة لـ 162 7 (5.8 في المائة) من المرضى (الجدول 1).,3,وكانت بيانات عن وجود أو عدم وجود حالات صحية أساسية وعوامل خطر أخرى معترف بها للنتائج الحادة من التهابات الجهاز التنفسي (أي التدخين والحمل) متاحة لـ 162 7 مريضا (5.8 في المائة) (الجدول 1).,3,وكانت البيانات المتعلقة بوجود أو عدم وجود حالات صحية أساسية وعوامل خطر أخرى معترف بها بالنسبة للنتائج الحادة الناجمة عن التهابات الجهاز التنفسي (أي التدخين والحمل) متاحة لـ 162 7 مريضا (5.8 في المائة) (الجدول 1).,3,وكانت البيانات المتعلقة بوجود أو عدم وجود حالات صحية أساسية وعوامل الخطر الأخرى المعترف بها للنتائج الحادة الناجمة عن التهابات الجهاز التنفسي (أي التدخين والحمل) متاحة لـ 162 7 مريضا (5.8 في المائة) (الجدول 1).,3
"Dysfunction of type-I and type-II pneumocytes decreases the surfactant level and increases surface tension, thus reducing the ability of the lungs to expand and heightening the risk of lung collapse.",ويؤدي اختلال وظائف الخلايا الرئوية من النوع الأول والنوع الثاني إلى انخفاض مستوى الخافض للتوتر السطحي وزيادة التوتر السطحي، مما يقلل من قدرة الرئتين على التوسع ويزيد من خطر انهيار الرئة.,4,ويؤدي خلل الخلايا الرئوية من النوع الأول والنوع الثاني إلى انخفاض مستوى الخافض وزيادة التوتر السطحي، مما يقلل من قدرة الرئتين على التوسع ويزيد من خطر انهيار الرئة.,4,وتؤدي عسر وظائف الخلايا الرئوية من النوعين الأول والثاني إلى انخفاض مستوى المنشط السطحي وزيادة التوتر السطحي، وبالتالي تقلل من قدرة الرئتين على التوسع وتزيد من خطر انهيار الرئة.,4,وتؤدي عسر وظائف الخلايا الرئوية من النوعين الأول والثاني إلى انخفاض مستوى التوتر السطحي وزيادة التوتر السطحي، مما يقلل من قدرة الرئتين على التوسع ويزيد من خطر انهيار الرئة.,3,يؤدي خلل الخلايا الرئوية من النوع الأول والنوع الثاني إلى انخفاض مستوى الخافض وزيادة التوتر السطحي، وبالتالي يقلل من قدرة الرئتين على التوسع وزيادة خطر انهيار الرئة.,3,خلل وظائف الخلايا الرئوية من النوع الأول والنوع الثاني يقلل من مستوى الخافض ويزيد من التوتر السطحي، وبالتالي يقلل من قدرة الرئتين على التوسع وزيادة خطر انهيار الرئة.,3,يؤدي خلل وظائف الخلايا الرئوية من النوع الأول والنوع الثاني إلى انخفاض مستوى الخافضة للتوتر السطحي وزيادة التوتر السطحي، وبالتالي تقليل قدرة الرئتين على التوسع وزيادة خطر انهيار الرئة.,4,يؤدي خلل وظائف الخلايا الرئوية من النوع الأول والنوع الثاني إلى انخفاض مستوى الخافض وزيادة التوتر السطحي، وبالتالي تقليل قدرة الرئتين على التوسع وزيادة خطر انهيار الرئة.,3
"However, intravenous administration with remdesivir, a nucleotide analog, has been found to be efficacious in an American patient with COVID-19.",ومع ذلك، تم العثور على إدارة الوريد مع ريمديسيفير، وهو نظير النوكليوتيدات، لتكون فعالة في المريض الأمريكي مع كوفيد-19.,1,ومع ذلك، تم العثور على إدارة الوريد مع ريمديسيفير، وهو نظير النوكليوتيدات، فعالة في مريض أمريكي مصاب بـ COVID-19.,1,ومع ذلك، تم العثور على إعطاء الوريد مع ريمديسيفير، وهو نظير النيوكليوتيد، ليكون فعالًا في مريض أمريكي مع كوفيد-19.,1,ومع ذلك، تم العثور على إعطاء الوريد مع ريمديسيفير، وهو نظير النيوكليوتيد، لتكون فعالة في مريض أمريكي مصاب بكوفيد-19.,1,ومع ذلك، فقد تم العثور على إعطاء الوريد مع ريمديسيفير، وهو نظير النيوكليوتيد، فعالة في مريض أمريكي مصاب بكوفيد-19.,1,ومع ذلك، فقد تم العثور على الإدارة الوريدية مع ريمديسيفير، وهو نظير النوكليوتيدات، لتكون فعالة في مريض أمريكي مع كوفيد-19.,1,ومع ذلك، تم العثور على إدارة الوريد مع ريمديسيفير، وهو نظير النوكليوتيدات، لتكون فعالة في مريض أمريكي مصاب بـ COVID-19.,1,ومع ذلك، تم العثور على إدارة الوريد مع ريمديسيفير، وهو نظير النوكليوتيدات، لتكون فعالة في مريض أمريكي مصاب بـ COVID-19.,1
"A higher percentage of health workers, particularly nurses, are women, and they have a higher chance of being exposed to the virus.",وهناك نسبة مئوية أعلى من العاملين في مجال الصحة، ولا سيما الممرضات، من النساء، وهن أكثر عرضة للإصابة بالفيروس.,4,وتشكل النساء نسبة مئوية أعلى من العاملين في مجال الصحة، ولا سيما الممرضات، وتتاح لهن فرصة أكبر للتعرض للفيروس.,3,وهناك نسبة أعلى من العاملين في القطاع الصحي، وخاصة من الممرضين، من النساء، ولديهم فرصة أكبر للتعرض للفيروس.,4,وتشكل النساء نسبة مئوية أعلى من العاملين في مجال الصحة، ولا سيما الممرضات، كما أن فرص تعرضهن للفيروس أعلى.,4,وتشكل النساء نسبة مئوية أعلى من العاملين في مجال الصحة، ولا سيما الممرضات، وتتاح لهن فرصة أكبر للتعرض للفيروس.,3,وهناك نسبة أعلى من العاملين في مجال الصحة، ولا سيما الممرضين، من النساء، ولديهم فرصة أكبر للتعرض للفيروس.,4,وتشكل النساء نسبة مئوية أعلى من العاملين في مجال الصحة، ولا سيما الممرضات، كما تتاح لهن فرصة أكبر للتعرض للفيروس.,3,وتشكل النساء نسبة مئوية أعلى من العاملين في مجال الصحة، ولا سيما الممرضات، وتتاح لهن فرصة أكبر للتعرض للفيروس.,3
"Authorities worldwide have responded by implementing travel restrictions, quarantines, curfews, workplace hazard controls, and facility closures.",واستجابت السلطات في جميع أنحاء العالم بفرض قيود على السفر، وعمليات الحجر الصحي، وحظر التجول، وضوابط على المخاطر في أماكن العمل، وإغلاق المرافق.,4,واستجابت السلطات في جميع أنحاء العالم بفرض قيود على السفر، والحجر الصحي، وحظر التجول، وضوابط على المخاطر في أماكن العمل، وإغلاق المرافق.,4,وقد استجابت السلطات في جميع أنحاء العالم من خلال تطبيق القيود المفروضة على السفر، والحجر الصحي، وحظر التجول، وضوابط المخاطر في أماكن العمل، وإغلاق المنشآت.,4,وقد استجابت السلطات في جميع أنحاء العالم بتنفيذ قيود السفر، والحجر الصحي، وحظر التجول، وضوابط المخاطر في مكان العمل، وإغلاق المرافق.,4,وقد استجابت السلطات في جميع أنحاء العالم بتنفيذ قيود السفر، والحجر الصحي، وحظر التجول، وضوابط المخاطر في مكان العمل، وإغلاق المرافق.,4,وقد استجابت السلطات في جميع أنحاء العالم من خلال تنفيذ قيود السفر، والحجر الصحي، وحظر التجول، وضوابط المخاطر في مكان العمل، وإغلاق المنشآت.,4,وقد استجابت السلطات في جميع أنحاء العالم بتنفيذ قيود السفر، والحجر الصحي، وحظر التجول، وضوابط المخاطر في مكان العمل، وإغلاق المرافق.,4,وقد استجابت السلطات في جميع أنحاء العالم بتنفيذ قيود السفر، والحجر الصحي، وحظر التجول، وضوابط المخاطر في مكان العمل، وإغلاق المرافق.,4
