Arabic,240k,Score,avg_8,Score,exp1_5000,Score,exp1_240,Score,exp1_avg8,Score,exp2_5000,Score,exp2_240,Score,exp2_avg8,Score
"واقتُرح أن يعالج هذا الغموض بحذف العبارة المعنية والاستعاضة عنها بالعبارة التالية: ""المرسل إليه الذي يطالب بتسليم البضاعة"".",It was suggested that that ambiguity should be addressed by deleting the phrase in question and replacing it with the words “the consignee that claims delivery of the goods”.,4,It was suggested that that ambiguity could be addressed by deleting the phrase in question and replacing it with the phrase “the consignee that claims delivery of the goods”.,4,It was suggested that that ambiguity could be addressed by deleting the phrase in question and replacing it with the phrase “the consignee that claims delivery of the goods”.,4,It was suggested that that ambiguity could be addressed by deleting the phrase in question and replacing it with the words “the consignee that claims delivery of the goods”.,4,It was suggested that that ambiguity could be addressed by deleting the phrase in question and replacing it with the phrase “the consignee that claims delivery of the goods”.,4,It was suggested that that ambiguity should be addressed by deleting the phrase in question and replacing it with the words “the consignee that claims delivery of the goods”.,4,It was suggested that that ambiguity should be addressed by deleting the phrase in question and replacing it with the words “the consignee that claims delivery of the goods”.,4,It was suggested that that ambiguity should be addressed by deleting the phrase in question and replacing it with the words “the consignee that claims delivery of the goods”.,4
عندما يرتَحل السيد (بايفيلد)، للعب القولف تبدو الأيام طويلة بشكل مروع.,"When Mr Bayfield goes golfing, the days seem awfully long.",4,"When Mr Bayfield leaves to play golf, the days seem awfully long.",4,"When Mr Bayfield leaves to play golf, the days seem awful long.",4,"When Mr Bayfield goes golfing, the days seem awfully long.",4,"When Mr Bayfield leaves to play golf, the days seem awfully long.",4,"When Mr Bayfield travels to play golf, the days seem to be terribly long.",4,"When Mr Bayfield leaves to play golf, the days seem awfully long.",4,"When Mr Bayfield leaves to play golf, the days seem awfully long.",4
49/3 تعزيز نظم مراقبة السلائف الكيميائية المستعملة في صنع العقاقير الاصطناعية,Strengthening systems for the control of precursor chemicals used in the manufacture of synthetic drugs,4,Strengthening systems for the control of precursor chemicals used in the manufacture of synthetic drugs,4,49/3 Strengthening systems for the control of chemical precursors used in the manufacture of synthetic drugs,4,49/3 Strengthening the systems of control of precursor chemicals used in the manufacture of synthetic drugs,4,49/3 Strengthening the systems of control of precursor chemicals used in the manufacture of synthetic drugs,4,Strengthening the systems for the control of precursor chemicals used in the manufacture of synthetic drugs,4,Strengthening the systems of control of precursor chemicals used in the manufacture of synthetic drugs,4,Strengthening the systems of control of precursor chemicals used in the manufacture of synthetic drugs,4
وحاولت أن أتبين الشواغل الأساسية للوفود، كي أستطيع أن أستخلص هيكلا مقبولا - ومن الواضح أنه ليس السيناريو الأمثل - كما سبق أن قلت هذا الصباح.,"I have tried to identify the basic concerns of delegations, so that I can come up with an acceptable structure — obviously not the optimal scenario — as I said this morning.",4,"I have tried to identify the basic concerns of delegations, so that I can come up with an acceptable structure — obviously not the optimal scenario — as I said earlier this morning.",4,"I have tried to set out the basic concerns of delegations, so that I can come up with an acceptable structure — clearly not the optimal scenario — as I said this morning.",4,"I have tried to identify the basic concerns of delegations, so that I can come up with an acceptable structure — obviously not the optimal scenario — as I said earlier this morning.",4,"I have tried to identify the fundamental concerns of delegations, so that I can come up with an acceptable structure — obviously not the optimal scenario — as I said earlier this morning.",4,"I have tried to identify the fundamental concerns of delegations, so that I can come up with an acceptable structure — obviously not the best scenario — as I said earlier this morning.",4,"I have tried to identify the fundamental concerns of delegations, so that I can come up with an acceptable structure — obviously not the optimal scenario — as I said earlier this morning.",4,"I have tried to identify the fundamental concerns of delegations, so that I can come up with an acceptable structure — obviously not the optimal scenario — as I said earlier this morning.",4
ومن بين المشاريع التي نالت القبول، هناك 11 طلباً مقدماً من قِبل هيئات حكومية و17 طلباً مقدماً من قِبل منظمات غير حكومية وطلبان مقدمان من قِبل آليتين وقائيتين وطنيتين.,"Of the projects accepted, 11 were submitted by governmental bodies, 17 by non-governmental organizations and two by national preventive mechanisms.",4,"Of the projects accepted, 11 were submitted by governmental bodies, 17 by non-governmental organizations and two by national preventive mechanisms.",4,"Of the projects accepted, 11 were submitted by government bodies, 17 by NGOs and 2 by national preventive mechanisms.",4,"Of the projects accepted, 11 were submitted by government bodies, 17 by NGOs and two by national preventive mechanisms.",4,"Of the projects accepted, 11 were submitted by government bodies, 17 by NGOs and two by national preventive mechanisms.",4,"Of the projects accepted, 11 were submitted by government bodies, 17 by non-governmental organizations and 2 by national preventive mechanisms.",4,"Of the projects accepted, 11 were submitted by governmental bodies, 17 by non-governmental organizations and two by national preventive mechanisms.",4,"Of the projects accepted, 11 were submitted by governmental bodies, 17 by non-governmental organizations and two by national preventive mechanisms.",4
لا يستطيع أحدٌ أن يُجارينا، يا سيّدي!,"No one can match us, sir!",4,"No one can match us, sir!",4,"Nobody can keep up with us, sir!",4,"No one can keep up with us, sir!",4,"No one can keep up with us, sir!",4,"No one can keep up, sir!",3,"No one can keep up, sir!",4,"No one can keep up, sir!",3
(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية في نيسان/أبريل 2002 إلى جميع آليات الرصد المواضيعي لحقوق الإنسان والتعاون الذي قدمته إلى الإجراءات الخاصة التابعة للجنة حقوق الإنسان خلال زياراتها؛,(a) The open invitation extended by the Government of the Islamic Republic of Iran in April 2002 to all thematic human rights monitoring mechanisms and the cooperation extended to the special procedures of the Commission on Human Rights during their visits;,4,(a) The open invitation extended by the Government of the Islamic Republic of Iran in April 2002 to all human rights thematic monitoring mechanisms and the cooperation extended to the special procedures of the Commission on Human Rights during their visits;,4,(a) The open invitation extended by the Government of the Islamic Republic of Iran in April 2002 to all human rights thematic monitoring mechanisms and the cooperation extended to the special procedures of the Commission on Human Rights during their visits;,4,(a) The open invitation extended by the Government of the Islamic Republic of Iran in April 2002 to all human rights thematic monitoring mechanisms and the cooperation extended to the special procedures of the Commission on Human Rights during their visits;,4,(a) The open invitation extended by the Government of the Islamic Republic of Iran in April 2002 to all human rights thematic monitoring mechanisms and the cooperation extended to the special procedures of the Commission on Human Rights during their visits;,4,(a) The open invitation extended by the Government of the Islamic Republic of Iran in April 2002 to all thematic human rights monitoring mechanisms and the cooperation extended to special procedures of the Commission on Human Rights during their visits;,4,(a) The open invitation extended by the Government of the Islamic Republic of Iran in April 2002 to all human rights thematic monitoring mechanisms and the cooperation extended to special procedures of the Commission on Human Rights during their visits;,4,(a) The open invitation extended by the Government of the Islamic Republic of Iran in April 2002 to all human rights thematic monitoring mechanisms and the cooperation extended to special procedures of the Commission on Human Rights during their visits;,4
لقد حاصرناها.,We got her cornered.,4,We got her surrounded.,4,We got her.,3,We got her surrounded.,4,We got her surrounded.,4,We've got her surrounded.,4,We got her surrounded.,4,We got her surrounded.,4
ولذا فإن الحاجة تقتضي على نحو عاجل إيجاد توازن أفضل بين إيرادات الأغراض العامة وإيرادات الأغراض الخاصة بغية الاستجابة بسرعة وبمرونة إلى التحديات والفرص البرنامجية الجديدة، وكذلك بغية الإبقاء دوما على حد أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,"Therefore, a better balance between general-purpose and special-purpose income is urgently needed in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to maintain always a minimum level deemed necessary for the biennial support budget.",4,"A better balance between general-purpose and special-purpose income is therefore urgently needed in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to maintain at all times a minimum level deemed necessary for the biennial support budget.",4,"It is therefore urgent to find a better balance between general- and special-purpose income in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to maintain a minimum level that is considered necessary for the biennial support budget.",4,"There was therefore an urgent need to find a better balance between general-purpose and special-purpose income in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to maintain always a minimum level considered necessary for the biennial support budget.",4,"Therefore, a better balance between general-purpose and special-purpose income is urgently needed in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to maintain at all times a minimum level deemed necessary for the biennial support budget.",4,"There is therefore an urgent need to find a better balance between general-purpose and special-purpose income in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to maintain a minimum level that is considered essential for the biennial support budget.",4,"There is therefore an urgent need to find a better balance between general-purpose and special-purpose income in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to maintain always a minimum level deemed necessary for the biennial support budget.",4,"There is therefore an urgent need to find a better balance between general-purpose and special-purpose income in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to maintain at all times a minimum level deemed necessary for the biennial support budget.",4
بالرغم من أني بالتأكيد سأقدّر جمال الغزالة، إن ذهبت في رحلة إلى أفريقيا.,Although I would certainly appreciate the beauty of a gazelle if you went on a trip to Africa.,4,Although I certainly would appreciate the beauty of a gazelle if you went on a trip to Africa.,4,Although I'd certainly appreciate it if you went on a trip to Africa.,3,Although I would certainly appreciate the beauty of a gazelle if you went on a trip to Africa.,4,Although I would certainly appreciate the beauty of a gazelle if you went on a trip to Africa.,4,Although I certainly would appreciate a gazelle's beauty if I took a trip to Africa.,4,Although I would certainly appreciate the beauty of a gazelle if I took a trip to Africa.,4,Although I certainly would appreciate the beauty of a gazelle if I went on a trip to Africa.,4
رابطة المحامين الوطنية هي المنظمة العامة الوحيدة الخاصة بالمحامين الأمريكيين من أصل أفريقي التي تتمتع بمركز استشاري لدى المجلس الاقتصادي والاجتماعي.,The National Bar Association is the only public organization of African American lawyers in consultative status with the Economic and Social Council.,4,The National Bar Association is the only public organization of African American lawyers in consultative status with the Economic and Social Council.,4,The National Bar Association is the only public organization of African American lawyers in consultative status with the Economic and Social Council.,4,The National Bar Association is the only public organization of African American lawyers in consultative status with the Economic and Social Council.,4,The National Bar Association is the only public organization of African American lawyers in consultative status with the Economic and Social Council.,4,The National Bar Association is the only public organization of African American lawyers in consultative status with the Economic and Social Council.,4,The National Bar Association is the only public organization of African American lawyers in consultative status with the Economic and Social Council.,4,The National Bar Association is the only public organization of African American lawyers in consultative status with the Economic and Social Council.,4
ماذا؟,What? !,4,What? !,4,- What?,4,What? What?,4,What? What?,4,- What?,4,What? !,4,What? !,4
كما ترين، أنا مجرد أمرأة مثلك.,"You see, I'm just a woman like you.",4,"You see, I'm just a woman like you.",4,"You see, I'm just a woman like you.",4,"You see, I'm just a woman like you.",4,"You see, I'm just a woman like you.",4,"You see, I'm just a woman like you.",4,"You see, I'm just a woman like you.",4,"You see, I'm just a woman like you.",4
وتعتقد سلوفاكيا أن نطاق المعاهدة سوف يتحدد من خلال التعاريف التي ستتضمنها المعاهدة.,Slovakia believes that the scope of the treaty will be determined by the definitions it will contain.,4,Slovakia believes that the scope of the treaty will be determined by the definitions it will contain.,4,Slovakia believes that the scope of the treaty will be determined by the definitions contained in the treaty.,4,Slovakia believes that the scope of the treaty will be determined by the definitions it will contain.,4,Slovakia believes that the scope of the treaty will be determined by the definitions it will contain.,4,Slovakia believes that the scope of the treaty will be determined by the definitions that the treaty will contain.,4,Slovakia believes that the scope of the treaty will be determined by the definitions that the treaty will contain.,4,Slovakia believes that the scope of the treaty will be determined by the definitions that the treaty will contain.,4
وترى اللجنة أنه ينبغي للتقارير المتعلقة بالمشتريات المتصلة بحفظ السلام أن تتضمن تفاصيل عن فئات السلع والخدمات وقيمتها ومصدر التوريد وغير ذلك من جوانب الشراء ذات الصلة على مستوى المقر ومستوى البعثة الميدانية، وذلك لإتاحة الفرص لإجراء مناقشة مستفيضة حول تلك المسألة.,"The Committee is of the view that reports on procurement related to peacekeeping should include details on categories of goods and services, their value, source of supply and other relevant aspects of procurement at the Headquarters and field mission levels, in order to provide opportunities for a thorough discussion of that issue.",4,"The Committee is of the view that reports on peacekeeping-related procurement should include details on categories of goods and services, their value, source of supply and other relevant aspects of procurement at the Headquarters and field mission levels, in order to provide opportunities for a thorough discussion of that issue.",4,"The Committee is of the view that reports on peacekeeping-related procurement should include details of categories of goods and services, their value, source of supply and other relevant aspects of procurement at the Headquarters and field mission levels, in order to provide opportunities for a thorough discussion of the issue.",4,"The Committee is of the view that reports on peacekeeping-related procurement should include details on categories of goods and services, their value, source of supply and other relevant aspects of procurement at the Headquarters and field mission levels, in order to provide opportunities for a thorough discussion of that issue.",4,"The Committee is of the view that reports on peacekeeping-related procurement should include details on categories of goods and services, their value, source of supply and other relevant aspects of procurement at the Headquarters and field mission levels, in order to provide opportunities for a thorough discussion of that issue.",4,"The Committee is of the view that reports on procurement related to peacekeeping should include details on the categories and value of goods and services, the source of supply and other relevant aspects of procurement at the headquarters and field mission levels, in order to provide opportunities for a thorough discussion of that issue.",4,"The Committee is of the view that reports on peacekeeping procurement should include details on the categories and value of goods and services, source of supply and other relevant aspects of procurement at the Headquarters and field mission levels, in order to provide opportunities for a thorough discussion of that issue.",3,"The Committee is of the view that reports on peacekeeping-related procurement should include details on the categories and value of goods and services, source of supply and other relevant aspects of procurement at the Headquarters and field mission levels, in order to provide opportunities for a thorough discussion of that issue.",4
وما زال المجتمع الدولي ينتظر نشأة دولة عربية تكون لها علاقات حسن جوار وود مع دولة إسرائيل، وفقا لأحكام خطة التقسيم التي وافقت عليها الجمعية العامة في ٢٩ تشرين الثاني/نوفمبر ١٩٤٧.,"The international community still awaits the establishment of an Arab State with good-neighbourly and friendly relations with the State of Israel, in accordance with the provisions of the partition plan approved by the General Assembly on 29 November 1947.",4,"The international community is still awaiting the establishment of an Arab State with good-neighbourly and friendly relations with the State of Israel, in accordance with the provisions of the partition plan approved by the General Assembly on 29 November 1947.",4,"The international community is still awaiting the establishment of an Arab State with good-neighbourly and friendly relations with the State of Israel, in accordance with the provisions of the partition plan approved by the General Assembly on 29 November 1947.",4,"The international community is still awaiting the establishment of an Arab State with good-neighbourly and friendly relations with the State of Israel, in accordance with the provisions of the partition plan approved by the General Assembly on 29 November 1947.",4,"The international community is still awaiting the establishment of an Arab State with good-neighbourly and friendly relations with the State of Israel, in accordance with the provisions of the partition plan approved by the General Assembly on 29 November 1947.",4,"The international community is still awaiting the establishment of an Arab State with good-neighbourly and friendly relations with the State of Israel, in accordance with the provisions of the partition plan approved by the General Assembly on 29 November 1947.",4,"The international community is still awaiting the establishment of an Arab State with good-neighbourly and friendly relations with the State of Israel, in accordance with the provisions of the partition plan approved by the General Assembly on 29 November 1947.",4,"The international community is still awaiting the establishment of an Arab State with good-neighbourly and friendly relations with the State of Israel, in accordance with the provisions of the partition plan approved by the General Assembly on 29 November 1947.",4
10 - وقال إنه يشاطر العديد من أعضاء اللجنة قلقهم إزاء ضرورة إعطاء أولوية أكبر لتسخير الموارد لأغراض التنمية.,10. He shared the concern of many members of the Committee that greater priority should be given to harnessing resources for development.,4,10. He shared the concern of many members of the Committee that greater priority should be given to resources for development.,4,He shared the concern of many members of the Committee regarding the need to give greater priority to resources for development.,4,He shared the concern of many members of the Committee that greater priority should be given to resources for development.,4,He shared the concern of many members of the Committee that greater priority should be given to resources for development.,4,He shared the concern of many members of the Committee that greater priority should be given to resources for development.,4,He shared the concern of many members of the Committee that greater priority should be given to resources for development.,4,He shared the concern of many members of the Committee that greater priority should be given to resources for development.,4
ويمنح القانون العفو عن أعمال التمرد وأعمال الحرب والجرائم السياسية المرتكبة في إقليم جمهورية الكونغو الديمقراطية فيما بين 18 شباط/فبراير 2006 و 20 كانون الأول/ديسمبر 2013.,"The law grants amnesty for acts of rebellion, acts of war and political crimes committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",4,"The law grants amnesty for acts of rebellion, acts of war and political crimes committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",4,"The law grants amnesty for acts of rebellion, acts of war and political crimes committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",4,"The law grants amnesty for acts of rebellion, acts of war and political crimes committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",4,"The law grants amnesty for acts of rebellion, acts of war and political crimes committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",4,"The law grants amnesty for acts of mutiny, acts of war and political crimes committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",4,"The law grants amnesty for acts of rebellion, acts of war and political crimes committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",4,"The law grants amnesty for acts of rebellion, acts of war and political crimes committed in the territory of the Democratic Republic of the Congo between 18 February 2006 and 20 December 2013.",4
أنا بانتظار مكالمة مهمة جداً، لذا لا يستخدم أحد الهاتف.,"I'm expecting a very important call, so no one uses the phone.",4,"I'm waiting for a very important call, so no one uses the phone.",4,"I'm waiting for a very important call, so no one uses the phone.",4,"I'm waiting for a very important call, so no one uses the phone.",4,"I'm waiting for a very important call, so no one uses the phone.",4,"I'm waiting for a very important call, so no one is using the phone.",4,"I'm waiting for a very important call, so no one's using the phone.",4,"I'm waiting for a very important call, so no one's using the phone.",4
66 - ولا تزال إدارة حصص الإعاشة في البعثات الميدانية تواجه تحديات ناجمة عن التعقيدات والأخطار المرتبطة بتحضير وتوزيع الأغذية إلى جانب عدم ثبات بيئة حفظ السلام.,66. The management of rations in field missions continues to be challenged by the complexities and risks associated with food preparation and distribution as well as the fluidity of the peacekeeping environment.,3,66. The management of rations in field missions continues to be challenged by the complexities and risks associated with food preparation and distribution as well as the uncertain peacekeeping environment.,4,"66. The management of rations in field missions continues to be challenged by the complexities and risks associated with food preparation and distribution, as well as the uncertainties of the peacekeeping environment.",4,66. The management of rations in field missions continues to be challenged by the complexities and risks associated with food preparation and distribution as well as the uncertain peacekeeping environment.,4,"66. The management of rations in field missions continues to be challenged by the complexities and risks associated with food preparation and distribution, as well as the uncertain peacekeeping environment.",4,"66. The management of rations in field missions continues to be challenged by the complexities and risks associated with food preparation and distribution, as well as the fluidity of the peacekeeping environment.",3,66. The management of rations in field missions continues to be challenged by the complexities and risks associated with food preparation and distribution as well as the fluidity of the peacekeeping environment.,3,66. The management of rations in field missions continues to be challenged by the complexities and risks associated with food preparation and distribution as well as the fluidity of the peacekeeping environment.,3
ومن ثم تخلص اللجنة إلى أنه لم تكن أمام صاحبة البلاغ سبل انتصاف فعالة.,The Committee therefore concludes that the author did not have an effective remedy.,4,The Committee therefore concludes that the author did not have an effective remedy.,4,The Committee therefore concludes that the author has no effective remedies.,4,The Committee therefore concludes that the author did not have an effective remedy.,4,The Committee therefore concludes that the author did not have an effective remedy.,4,The Committee therefore concludes that the author had no effective remedies.,4,The Committee therefore concludes that the author did not have an effective remedy.,4,The Committee therefore concludes that the author did not have an effective remedy.,4
وقد اتُخذت عدة خطوات باتجاه تنقيح المبادئ التوجيهية للدول الأعضاء التي تطلب المساعدة الانتخابية.,Several steps have been taken towards revising the guidelines for Member States requesting electoral assistance.,4,Several steps have been taken towards revising the guidelines for Member States requesting electoral assistance.,4,Several steps have been taken towards revising the guidelines for Member States requesting electoral assistance.,4,Several steps have been taken towards revising the guidelines for Member States requesting electoral assistance.,4,Several steps have been taken towards revising the guidelines for Member States requesting electoral assistance.,4,Several steps have been taken towards revising the guidelines for Member States requesting electoral assistance.,4,Several steps have been taken towards revising the guidelines for Member States requesting electoral assistance.,4,Several steps have been taken towards revising the guidelines for Member States requesting electoral assistance.,4
