Arabic,240k,Score,avg_8,Score,exp1_5000,Score,exp1_240,Score,exp1_avg8,Score,exp2_5000,Score,exp2_240,Score,exp2_avg8,Score
حدِّدي مدة وحدات التعليم عن بُعد بناءً على مهارات التنظيم الذاتي للطلاب: حافظي على توقيت محدد وفقًا لمستوى التنظيم الذاتي للطلاب وقدراتهم المعرفية، خاصة لفصول البث المباشر.,"Set the duration of distance learning modules based on students &apos; self-regulatory skills: maintain a specific timing according to students &apos; self-regulatory level and cognitive abilities, especially for live streaming classes.",4,"Set the duration of distance learning modules based on students &apos; self-regulation skills: Maintain a specific timing according to students &apos; level of self-regulation and cognitive abilities, especially for live streaming classes.",4,"Limit the duration of distance learning units based on students’ self-regulation skills: Keep a specific timing in accordance with students’ self-regulation level and cognitive abilities, especially for live streaming classes.",4,"Limit the duration of distance learning units based on students’ self-regulation skills: Maintain a specific timing according to students’ self-regulation level and cognitive abilities, especially for live streaming classes.",4,"Set the duration of distance learning units based on students &apos; self-regulation skills: Maintain a specific timing according to students &apos; level of self-regulation and cognitive abilities, especially for live streaming classes.",4,"Set the duration of distance education modules based on students &apos; self-organization skills: maintain a specific timing according to students &apos; self-organization level and cognitive abilities, especially for live streaming classes.",4,"Set the duration of distance education modules based on students &apos; self-regulatory skills: maintain a specific timing according to students &apos; self-regulatory level and cognitive abilities, especially for live streaming classes.",4,"Set the duration of distance education modules based on students &apos; self-organization skills: maintain a specific timing according to the level of students &apos; self-organization and their cognitive abilities, especially for live streaming classes.",4
أخيرًا، بالنسبة لبعض الحالات الصحية الكامنة وعوامل الخطر، بما فيها الاضطرابات العصبية، وأمراض الكبد المزمنة، والتدخين الحالي، والحمل، تم الإبلاغ عن بعض النتائج الحادة؛ لذلك، لا يمكن استخلاص الاستنتاجات حول خطر كوفيد-19 الحاد بين الأشخاص في هذه المجموعات.,"Finally, for some underlying health conditions and risk factors, including neurological disorders, chronic liver disease, current smoking, and pregnancy, some acute findings have been reported; therefore, conclusions cannot be drawn about acute COVID-19 risk among people in these groups.",4,"Finally, for some underlying health conditions and risk factors, including neurological disorders, chronic liver disease, current smoking, and pregnancy, some acute findings have been reported; therefore, conclusions cannot be drawn about acute COVID-19 risk among people in these groups.",4,"Finally, for some underlying health conditions and risk factors, including neurological disorders, chronic liver disease, current smoking, and pregnancy, some acute findings have been reported; therefore, it is not possible to draw conclusions about the risk of severe COVID-19 among people in these groups.",4,"Finally, for some underlying health conditions and risk factors, including neurological disorders, chronic liver disease, current smoking, and pregnancy, some acute findings have been reported; therefore, it is not possible to draw conclusions about the acute COVID-19 risk among people in these groups.",4,"Finally, for some underlying health conditions and risk factors, including neurological disorders, chronic liver disease, current smoking, and pregnancy, some acute findings have been reported; therefore, conclusions cannot be drawn about the acute COVID-19 risk among people in these groups.",4,"Finally, for some underlying health conditions and risk factors, including neurological disorders, chronic liver disease, current smoking, and pregnancy, some acute findings have been reported; therefore, conclusions about the risk of severe COVID-19 among people in these groups cannot be drawn.",3,"Finally, for some underlying health conditions and risk factors, including neurological disorders, chronic liver disease, current smoking, and pregnancy, some acute findings have been reported; therefore, conclusions cannot be drawn about the acute risk of COVID-19 among people in these groups.",4,"Finally, for some underlying health conditions and risk factors, including neurological disorders, chronic liver disease, current smoking, and pregnancy, some acute findings have been reported; therefore, conclusions cannot be drawn about the acute COVID-19 risk among people in these groups.",4
"نتيجة لذلك تم إعداد فريق لإدارة الأزمات تابع للأمم المتحدة، مما سمح بتنسيق استجابة الأمم المتحدة بكاملها، وستسمح له منظمة الصحة العالمية ""بالتركيز على الاستجابة الصحية في حين يمكن الاستفادة من خبرة الوكالات الأخرى لمعرفة التأثيرات الاجتماعية، والاقتصادية، والتنموية الأوسع للتفشي"".","As a result, a United Nations Crisis Management Team was set up, allowing for the coordination of the entire United Nations response, and the World Health Organization will allow it ""to focus on health response while the expertise of other agencies can be used to learn about the wider social, economic, and development impacts of the outbreak"".",3,"As a result, a United Nations crisis management team has been set up, which has allowed the entire United Nations response to be coordinated, and the World Health Organization will allow it ""to focus on health response while the expertise of other agencies can be drawn upon to learn about the wider social, economic, and developmental impacts of the outbreak"".",3,"As a result a UN crisis management team was set up, which allowed the entire UN response to be coordinated, and the WHO will allow it to ""focus on the health response while the expertise of other agencies can be drawn upon to see the wider social, economic, and developmental impacts of the outbreak"".",4,"As a result, a UN crisis management team was set up, which allowed the entire UN response to be coordinated, and the WHO will allow it ""to focus on health response while the expertise of other agencies can be drawn upon to see the wider social, economic, and developmental impacts of the outbreak"".",4,"As a result a UN crisis management team was set up, which allowed the entire UN response to be coordinated, and the WHO will allow it ""to focus on health response while the expertise of other agencies can be drawn upon to learn about the wider social, economic, and developmental impacts of the outbreak"".",3,"As a result a UN crisis management team was set up, which allowed it to coordinate the entire UN response, and the WHO would allow it to ""focus on the health response while the expertise of other agencies could be drawn upon to see the wider social, economic, and development impacts of the outbreak.""",4,"As a result, a UN Crisis Management Team was set up, allowing for the coordination of the entire UN response, and the WHO will allow it to ""focus on the health response while the expertise of other agencies can be drawn upon to see the wider social, economic, and development impacts of the outbreak"".",4,"As a result, a UN crisis management team was set up, allowing for the coordination of the entire UN response, and the WHO will allow it to ""focus on the health response while the expertise of other agencies can be drawn upon to learn about the wider social, economic, and developmental impacts of the outbreak"".",3
بالنسبة لكوفيد-19، سننشئ نموذج طلب جديدًا سيسجل:,"For COVID-19, we will create a new application form that will record:",4,"For COVID-19, we will create a new application form that will record:",4,"For COVID-19, we will create a new application form that will record:",4,"For COVID-19, we will create a new application form that will record:",4,"For COVID-19, we will create a new application form that will record:",4,"For COVID-19, we will create a new application form that will record:",4,"For COVID-19, we will create a new application form that will record:",4,"For COVID-19, we will create a new application form that will record:",4
بالإضافة إلى ذلك، فإن الحفاظ على توازن السوائل، والوقاية من العدوى الثانوية والصدمة الإنتانية وعلاجهما، وحماية وظائف الأعضاء الحيوية، تُعد أيضًا ضرورية لمرضى سارس-كوف-2.,"In addition, maintaining fluid balance, preventing and treating secondary infection and septic shock, and protecting vital organ functions are also essential for SARS-CoV-2 patients.",4,"In addition, maintaining fluid balance, preventing and treating secondary infection and septic shock, and protecting vital organ function are also essential for SARS-CoV-2 patients.",3,"In addition, fluid homeostasis, prevention and treatment of secondary infection and septic shock, and protection of vital organ functions, are also essential for SARS-CoV-2 patients.",3,"In addition, maintaining fluid balance, preventing and treating secondary infection and septic shock, and protecting vital organ functions are also essential for SARS-CoV-2 patients.",4,"In addition, maintaining fluid balance, preventing and treating secondary infection and septic shock, and protecting vital organ functions are also essential for SARS-CoV-2 patients.",4,"In addition, maintaining fluid balance, preventing and treating secondary infection and septic shock, and protecting vital organ function, are also essential for SARS-CoV-2 patients.",3,"In addition, maintaining fluid balance, preventing and treating secondary infection and septic shock, and protecting vital organ function, are also essential for SARS-CoV-2 patients.",3,"In addition, maintaining fluid balance, preventing and treating secondary infection and septic shock, and protecting vital organ function, are also essential for SARS-CoV-2 patients.",3
سجّلت حوالي 200 دولة وإقليم حالة واحدة على الأقل.,About 200 States and territories registered at least one case.,4,About 200 States and territories have registered at least one case.,4,About 200 countries and territories have recorded at least one case.,4,About 200 States and territories have registered at least one case.,4,About 200 States and territories have registered at least one case.,4,About 200 countries and territories have recorded at least one case.,4,About 200 States and territories have recorded at least one case.,4,About 200 States and territories have recorded at least one case.,4
هناك أشكال أخرى من العلاج السلبي بالأجسام المضادة، مثل استخدام الأجسام المضادة وحيدة النسيلة المصنعة، قيد التطوير.,"Other forms of passive antibody therapy, such as the use of synthetic monoclonal antibodies, are under development.",4,"Other forms of passive antibody therapy, such as the use of synthetic monoclonal antibodies, are under development.",4,"Other forms of passive antibody therapy, such as the use of synthetic monoclonal antibodies, are under development.",4,"Other forms of passive antibody therapy, such as the use of synthetic monoclonal antibodies, are under development.",4,"Other forms of passive antibody therapy, such as the use of synthetic monoclonal antibodies, are under development.",4,"Other forms of antibody-negative therapy, such as the use of manufactured monoclonal antibodies, are under development.",3,"Other forms of passive antibody therapy, such as the use of manufactured monoclonal antibodies, are under development.",4,"Other forms of passive antibody therapy, such as the use of manufactured monoclonal antibodies, are under development.",4
يُجرَى هذا الاختبار بصفة عامة عن طريق مسحة بلعومية أنفية، ويمكن أيضًا استخدام مسحة من الحلق. يطور عدد من المختبرات والشركات اختبارات مَصليَّة تكشف الأجسام المضادة.,"This test is generally performed by a nasal laryngeal swab, and a throat swab can also be used. A number of laboratories and companies are developing serum tests that detect antibodies.",2,"This test is generally performed by a nasal pharyngeal swab, and a throat swab can also be used. A number of laboratories and companies develop serum tests that detect antibodies.",3,"This test is generally performed by a nasal nasopharyngeal swab, and a swab from the throat can also be used. A number of laboratories and companies are developing serological tests that detect antibodies.",4,"This test is generally performed by a nasal nasopharyngeal swab, and a throat swab can also be used. A number of laboratories and companies are developing serological tests that detect antibodies.",4,"This test is generally performed by a nasal nasopharyngeal swab, and a throat swab can also be used. A number of laboratories and companies are developing serological tests that detect antibodies.",4,This test is generally performed by a nasal nasopharyngeal swab and a throat swab may also be used. A number of laboratories and companies are developing serological tests that detect antibodies.,4,"This test is generally performed by a nasal nasopharyngeal swab, and a throat swab may also be used. A number of laboratories and companies are developing serological tests that detect antibodies.",4,"This test is generally performed by a nasal nasopharyngeal swab, and a throat swab can also be used. A number of laboratories and companies are developing serological tests that detect antibodies.",4
سيتبع هذا جمع 800 عينة شهريًّا.,This will follow the collection of 800 samples a month.,4,This will follow the collection of 800 samples a month.,4,This will be followed by the collection of 800 samples per month.,4,This will be followed by the collection of 800 samples a month.,4,This will be followed by the collection of 800 samples a month.,4,This will be followed by a monthly collection of 800 samples.,4,This will be followed by 800 samples a month.,3,This will be followed by 800 samples a month.,3
كان معظم الأشخاص في ذلك الوقت لا يزالون يعتقدون أن العدوى كانت بسبب الروائح الكريهة التي تسمى ميازماز.,Most people at the time still believed that the infection was caused by bad smells called miasmas.,4,Most people at the time still believed that the infection was caused by the stench called miazmaz.,4,Most people at the time still believed that the infection was due to the foul odors called miasmas.,4,Most people at the time still believed that the infection was due to the foul odors called miasmas.,4,Most people at the time still believed that the infection was due to the foul odors called miasmas.,4,Most people at the time still thought the infection was caused by the unpleasant odors called miazmaz.,4,Most people at the time still believed that the infection was caused by foul odors called miazmaz.,4,Most people at the time still believed that the infection was caused by the stench called miazmaz.,4
يُنظر إلى اكتساب المناعة باعتباره محتملاً، استنادًا إلى سلوك فيروسات كورونا الأخرى، ولكن أُعلن أن هناك حالات تعافت من كوفيد-19 ثم أُصيبت به مرة أخرى في وقت لاحق.,"The acquisition of immunity is seen as probable, based on the behaviour of other coronaviruses, but it has been reported that there have been cases that have recovered from COVID-19 and later contracted it again.",3,"The acquisition of immunity is seen as probable, based on the behaviour of other coronaviruses, but it has been announced that there have been cases that have recovered from COVID-19 and subsequently reinfected.",3,"The acquisition of immunity is seen as possible, based on the behaviour of other coronaviruses, but it has been announced that there have been cases that have recovered from COVID-19 and then been infected again later.",4,"The acquisition of immunity is seen as possible, based on the behaviour of other coronaviruses, but it has been announced that there have been cases that have recovered from COVID-19 and subsequently been infected again.",3,"The acquisition of immunity is seen as probable, based on the behaviour of other coronaviruses, but it has been announced that there have been cases that have recovered from COVID-19 and subsequently reinfected.",3,"The acquisition of immunity is seen as probable, based on the behaviour of other coronaviruses, but it has been declared that there have been cases that have recovered from COVID-19 and then have been reinfected later.",4,"The acquisition of immunity is seen as probable, based on the behaviour of other coronaviruses, but it has been announced that there have been cases that have recovered from COVID-19 and subsequently reinfected.",3,"The acquisition of immunity is seen as probable, based on the behaviour of other coronaviruses, but it has been announced that there have been cases that have recovered from COVID-19 and subsequently reinfected.",3
رُوِج للصابون المضاد للبكتيريا بشكل كبير للمستهلكين المهتمين بالصحة.,Antibacterial soap has been widely promoted for health-conscious consumers.,4,Antibacterial soap has been widely promoted for health-conscious consumers.,4,Antibacterial soaps have been heavily promoted for health-conscious consumers.,4,Antibacterial soaps have been widely promoted for health-conscious consumers.,4,Antibacterial soap has been widely promoted for health-conscious consumers.,4,Antibacterial soap is highly marketed to health-care consumers.,3,Antibacterial soap has been widely promoted for health-conscious consumers.,4,Antibacterial soap has been widely promoted for health-conscious consumers.,4
"تم توفير البيانات حول وجود أو انعدام الحالات الصحية الكامنة وغيرها من عوامل الخطر المعروفة للنتائج الحادة الناجمة من حالات عدوى الجهاز التنفسي (أيْ التدخين والحمل) لـ 7,162 (5.8%) مريضًا (الجدول 1).","Data on the presence or absence of underlying health conditions and other known risk factors for acute outcomes from respiratory infections (i.e. smoking and pregnancy) were provided to 7,162 (5.8%) patients (Table 1).",4,"Data on the presence or absence of underlying health conditions and other known risk factors for acute outcomes from respiratory infections (i.e. smoking and pregnancy) were provided to 7,162 (5.8%) patients (Table 1).",4,"Data on the presence or absence of underlying health conditions and other known risk factors for acute findings from respiratory infection cases (ie, smoking and pregnancy) were provided for 7,162 (5.8%) patients (Table 1).",4,"Data on the presence or absence of underlying health conditions and other known risk factors for acute outcomes from respiratory infections (i.e., smoking and pregnancy) were provided to 7,162 (5.8%) patients (Table 1).",4,"Data on the presence or absence of underlying health conditions and other known risk factors for acute outcomes from respiratory infections (i.e., smoking and pregnancy) were provided to 7,162 (5.8%) patients (Table 1).",4,"Data on the presence or absence of underlying health conditions and other known risk factors for acute outcomes from cases of respiratory infection (i.e., smoking and pregnancy) were provided to 7,162 (5.8%) patients (Table 1).",4,"Data on the presence or absence of underlying health conditions and other known risk factors for acute outcomes from respiratory infections (i.e., smoking and pregnancy) were provided to 7,162 (5.8%) patients (Table 1).",4,"Data on the presence or absence of underlying health conditions and other known risk factors for acute outcomes from respiratory infections (i.e., smoking and pregnancy) were provided to 7,162 (5.8%) patients (Table 1).",4
يقلل الخلل الوظيفي للخلايا الرئوية من النوع 1 والنوع 2 مستوى المنشط السطحي ويزيد التوتر السطحي، ومن ثم، يقلل قدرة الرئتين على التمدد ويزيد من خطر انهيار الرئة.,"The dysfunction of type 1 and type 2 pulmonary cells reduces the surface actuator level and increases surface tension, thereby reducing the ability of the lungs to expand and increasing the risk of lung collapse.",3,"The dysfunction of type 1 and type 2 pulmonary cells reduces the surface actuator level and increases surface tension, thereby reducing the ability of the lungs to expand and increasing the risk of lung collapse.",3,"The dysfunction of type 1 and type 2 pneumocytes reduces the level of the surfactant and increases the surface tension, and then, reduces the ability of the lungs to stretch and increases the risk of lung collapse.",3,"The dysfunction of type 1 and type 2 pneumocytes reduces the level of the surfactant and increases the surface tension, thus, reducing the ability of the lungs to expand and increasing the risk of lung collapse.",4,"The dysfunction of type 1 and type 2 pneumocytes reduces the level of the surfactant and increases the surface tension, thereby, reducing the ability of the lungs to expand and increasing the risk of lung collapse.",4,"The dysfunction of type 1 and type 2 pneumocytes decreases the surface activator level and increases surface tension, thus, reducing the ability of the lungs to expand and increasing the risk of lung collapse.",3,"The dysfunctions of type 1 and type 2 pulmonary cells reduce the surface activator level and increase surface tension, thus, reducing the ability of the lungs to expand and increasing the risk of lung collapse.",3,"The dysfunction of type 1 and type 2 pneumocytes reduces the level of surfactant and increases surface tension, thus, reducing the ability of the lungs to expand and increasing the risk of lung collapse.",4
بالرغم من ذلك، فقد اكتُشف أن إعطاء ريمديسيفير، وهو نظير نيوكليتيدي، وريديًّا كان فعالًا مع مريض كوفيد-19 أمريكي.,"However, it was discovered that the administration of remdisivir, a nucleotide analogue, was effective with an American COVID-19 patient.",2,"However, it was discovered that the intravenous administration of remdesivir, a nucleotide analogue, was effective with an American COVID-19 patient.",4,"However, it was discovered that administration of Remdesivir, a nucleotide analog, was effective with an American COVID-19 patient.",2,"However, it was discovered that the administration of remdesivir, a nucleotide analogue, intravenously was effective with an American COVID-19 patient.",3,"However, it has been discovered that administration of remdesivir, a nucleotide analogue, intravenously was effective with an American COVID-19 patient.",4,"However, it has been discovered that the administration of Remdesivir, a nucleotide analog, intravenously was effective with an American COVID-19 patient.",3,"However, it has been discovered that administering remdesivir, a nucleotide analogue, intravenously was effective with an American COVID-19 patient.",3,"However, it has been discovered that administering remdesivir, a nucleotide analogue, intravenously was effective with an American COVID-19 patient.",3
النسبة الأعلى للعاملين في المجال الصحي، خاصة الممرضات، من النساء، وتزيد لديهن خطورة الإصابة بالفيروس.,"The higher proportion of health workers, especially nurses, are women, and they are at higher risk of HIV infection.",3,"The higher proportion of health workers, especially nurses, is female, and increases their risk of HIV infection.",3,"The higher proportion of health workers, especially nurses, who are women, and have a higher risk of contracting the virus.",4,"The higher proportion of health workers, especially nurses, are women, and they have a higher risk of contracting the virus.",4,"The higher proportion of health workers, especially nurses, who are women, increases their risk of contracting the virus.",4,"The higher proportion of health workers, especially nurses, who are women, increases their risk of contracting the virus.",3,"The higher proportion of health workers, especially nurses, who are women, increases the risk of contracting the virus.",3,"The higher proportion of health workers, especially nurses, who are women, increases their risk of contracting the virus.",4
تستجيب السلطات في جميع أنحاء العالم لهذا الخطر بفرض قيود على السفر، والحجر الصحي، وحظر التجول، وضوابط مخاطر أماكن العمل وإغلاق المنشآت.,"Authorities around the world are responding to this risk by imposing travel restrictions, quarantines, curfews, workplace hazards controls and closures.",4,"Authorities around the world respond to this risk by imposing travel restrictions, quarantines, curfews, workplace hazard controls and closure of facilities.",4,"Authorities around the world are responding to this risk with travel restrictions, quarantines, curfew, workplace hazard controls and closure of facilities.",4,"Authorities around the world respond to this risk by imposing travel restrictions, quarantines, curfews, workplace hazard controls and closure of facilities.",4,"Authorities worldwide are responding to this risk by imposing travel restrictions, quarantines, curfews, workplace hazard controls and closure of facilities.",4,"Authorities around the world are responding to this risk by imposing travel restrictions, quarantines, curfews, workplace hazard controls and closing facilities.",4,"Authorities around the world are responding to this risk by imposing travel restrictions, quarantines, curfews, workplace hazards controls and closing facilities.",4,"Authorities around the world are responding to this risk by imposing travel restrictions, quarantines, curfews, workplace hazards controls and closing facilities.",4
على وجه التحديد، وُجد أن الفيروس يمكن اكتشافه لمدة تصل إلى ثلاثة أيام على البلاستيك (البولي بروبلين) والفولاذ المقاوم للصدأ طراز 304، ومدة يوم واحد على الورق المقوى، وما يصل إلى أربع ساعات على النحاس.,"Specifically, the virus was found to be detectable for up to three days on plastic (polypropylene) and stainless steel model 304, one day on cardboard, and up to four hours on copper.",4,"Specifically, the virus was found detectable for up to three days on plastic (polypropylene) and stainless steel model 304, one day on cardboard, and up to four hours on copper.",4,"Specifically, the virus was found to be detectable for up to three days on plastic (polypropylene) and stainless steel model 304, a duration of one day on cardboard, and up to four hours on copper.",4,"Specifically, the virus was found to be detectable for up to three days on plastic (polypropylene) and stainless steel model 304, a one-day duration on cardboard, and up to four hours on copper.",4,"Specifically, the virus was found to be detectable for up to three days on plastic (polypropylene) and stainless steel model 304, one day on cardboard, and up to four hours on copper.",4,"Specifically, the virus was found to be detectable for up to three days on plastic (polypropylene) and stainless steel model 304, a duration of one day on cardboard, and up to four hours on copper.",4,"Specifically, the virus was found to be detectable for up to three days on plastic (polypropylene) and stainless steel model 304, a duration of one day on cardboard, and up to four hours on copper.",4,"Specifically, the virus was found to be detectable for up to three days on plastic (polypropylene) and stainless steel model 304, one day on cardboard, and up to four hours on copper.",4
يُعد تحديد الحيوانات المضيفة ذا تأثير مباشر في الوقاية من الأمراض البشرية.,The identification of host animals has a direct impact on the prevention of human diseases.,4,The identification of host animals has a direct impact on the prevention of human diseases.,4,Identification of animal hosts has a direct bearing on the prevention of human diseases.,3,The identification of host animals has a direct impact on the prevention of human diseases.,4,The identification of host animals has a direct impact on the prevention of human diseases.,4,The identification of the host animals is of direct effect in the prevention of human disease.,4,The identification of host animals is of direct influence in the prevention of human diseases.,4,The identification of host animals is of direct influence in the prevention of human diseases.,4
