English,105k,Score,avg_8,Score,exp1_5000,Score,exp1_105,Score,exp1_avg8,Score,exp2_500,Score,exp2-500_105,Score,exp2-500_avg8,Score
It was suggested that that uncertainty could be remedied by deleting the phrase at issue and substituting for it: “the consignee that demands delivery of the goods”.,"ورئي أنه يمكن تدارك عدم اليقين هذا بحذف العبارة المعنية والاستعاضة عنها: ""المرسل إليه الذي يطالب بتسليم البضاعة"".",4,"ورئي أنه يمكن معالجة ذلك الغموض بحذف العبارة المعنية والاستعاضة عنها: ""المرسل إليه الذي يطالب بتسليم البضاعة"".",4,"ورئي أنه يمكن تدارك ذلك الغموض بحذف العبارة المعنية والاستعاضة عنها بعبارة ""المرسل إليه الذي يطالب بتسليم البضاعة"".",4,"ورئي أنه يمكن تدارك عدم اليقين هذا بحذف العبارة المعنية والاستعاضة عنها بعبارة ""المرسل إليه الذي يطالب بتسليم البضاعة"".",4,"ورئي أنه يمكن تدارك عدم اليقين هذا بحذف العبارة المعنية والاستعاضة عنها بعبارة ""المرسل إليه الذي يطالب بتسليم البضاعة"".",4,"وأشير إلى أنه يمكن تدارك عدم اليقين هذا بحذف العبارة المعنية والاستعاضة عنها: ""المرسل إليه الذي يطالب بتسليم البضاعة"".",4,"ورئي أنه يمكن تدارك عدم اليقين هذا بحذف العبارة المعنية والاستعاضة عنها: ""المرسل إليه الذي يطالب بتسليم البضاعة"".",4,"ورئي أنه يمكن معالجة ذلك الغموض بحذف العبارة المعنية والاستعاضة عنها: ""المرسل إليه الذي يطالب بتسليم البضاعة"".",4
"When Mr Bayfield is away playing golf, the days can seem awfully long.",عندما يذهب السيد (بايفيلد) للعب الغولف الأيام قد تبدو طويلة جداً,4,عندما يكون السيد بايفيلد بعيدا يلعب الغولف الأيام قد تبدو طويلة جدا,4,عندما يذهب السيد بايفيلد للعب الجولف الأيام قد تبدو طويلة,4,عندما يذهب السيد بايفيلد للعب الغولف الأيام قد تبدو طويلة جداً,4,عندما يذهب السيد بايفيلد للعب الغولف الأيام قد تبدو طويلة جداً,4,عندما يكون السيد بايفيلد بعيدا يلعب الغولف، يمكن أن تبدو الأيام طويلة جدا.,4,عندما يذهب السيد (بايفيلد) للعب الغولف الأيام قد تبدو طويلة جداً,4,عندما يذهب السيد (بايفيلد) للعب الغولف الأيام قد تبدو طويلة جداً,4
49/3 Strengthening systems for the control of precursor chemicals used in the manufacture of synthetic drugs,49/3 تعزيز نظم مراقبة السلائف الكيميائية المستخدمة في صنع العقاقير الاصطناعية,4,٩٤/٣ تعزيز نظم مراقبة السلائف الكيميائية المستخدمة في صنع العقاقير الاصطناعية,4,تعزيز نظم مراقبة السلائف الكيميائية المستخدمة في صنع العقاقير الاصطناعية,4,٩٤/٣ تعزيز نظم مراقبة السلائف الكيميائية المستخدمة في صنع العقاقير الاصطناعية,4,٩٤/٣ تعزيز نظم مراقبة السلائف الكيميائية المستخدمة في صنع العقاقير الاصطناعية,4,49/3 تعزيز نظم مراقبة السلائف الكيميائية المستخدمة في صنع العقاقير الاصطناعية,4,49/3 تعزيز نظم مراقبة السلائف الكيميائية المستخدمة في صنع العقاقير الاصطناعية,4,٩٤/٣ تعزيز نظم مراقبة السلائف الكيميائية المستخدمة في صنع العقاقير الاصطناعية,4
"I tried to identify the basic preoccupations of delegations in order to come up with a structure that is liveable — which is clearly not the ideal scenario, as I said earlier this morning.",لقد حاولت تحديد الشواغل الأساسية للوفود من أجل التوصل إلى هيكل صالح للعيش - ومن الواضح أنه ليس السيناريو المثالي، كما قلت في وقت سابق من هذا الصباح.,4,لقد حاولت تحديد الشواغل الأساسية للوفود بغية التوصل إلى هيكل قابل للحياة - ومن الواضح أنه ليس السيناريو المثالي، كما قلت في وقت سابق من هذا الصباح.,4,وقد حاولت تحديد الشواغل الأساسية للوفود من أجل التوصل إلى هيكل ملائم للعيش - ومن الواضح أنه ليس السيناريو المثالي، كما قلت في وقت سابق من هذا الصباح.,4,لقد حاولت تحديد الشواغل الأساسية للوفود من أجل التوصل إلى هيكل ملائم للعيش - ومن الواضح أنه ليس السيناريو المثالي، كما قلت في وقت سابق من هذا الصباح.,4,لقد حاولت تحديد الشواغل الأساسية للوفود من أجل التوصل إلى هيكل ملائم للعيش - ومن الواضح أنه ليس السيناريو المثالي، كما قلت في وقت سابق من هذا الصباح.,4,لقد حاولت تحديد الشواغل الأساسية للوفود من أجل التوصل إلى هيكل يمكن العيش فيه - ومن الواضح أنه ليس السيناريو المثالي، كما قلت في وقت سابق من هذا الصباح.,4,لقد حاولت تحديد الشواغل الأساسية للوفود من أجل التوصل إلى هيكل صالح للعيش - ومن الواضح أنه ليس السيناريو المثالي، كما قلت في وقت سابق من هذا الصباح.,4,لقد حاولت تحديد الشواغل الأساسية للوفود بغية التوصل إلى هيكل يمكن العيش فيه - ومن الواضح أنه ليس السيناريو المثالي، كما قلت في وقت سابق من هذا الصباح.,4
"Out of those admissible projects, 11 applications were received from governmental bodies, 17 from non-governmental organizations and 2 from NPMs.",ومن بين هذه المشاريع المقبولة، ورد 11 طلباً من هيئات حكومية، و17 طلباً من منظمات غير حكومية، وطلبان من آليات وقائية وطنية.,4,ومن بين هذه المشاريع المقبولة، ورد 11 طلباً من هيئات حكومية، و17 طلباً من منظمات غير حكومية، وطلبان من الآليات الوقائية الوطنية.,4,ومن أصل هذه المشاريع المقبولة، ورد 11 طلباً من هيئات حكومية، و17 طلباً من منظمات غير حكومية، وطلبان من الآليات الوقائية الوطنية.,4,ومن بين هذه المشاريع المقبولة، ورد 11 طلباً من هيئات حكومية، و17 طلباً من منظمات غير حكومية، وطلبان من الآليات الوقائية الوطنية.,4,ومن بين هذه المشاريع المقبولة، ورد 11 طلباً من هيئات حكومية، و17 طلباً من منظمات غير حكومية، وطلبان من الآليات الوقائية الوطنية.,4,ومن بين هذه المشاريع المقبولة، ورد 11 طلباً من هيئات حكومية، و17 طلباً من منظمات غير حكومية، وطلبان من آليات وقائية وطنية.,4,ومن بين هذه المشاريع المقبولة، ورد 11 طلباً من هيئات حكومية، و17 طلباً من منظمات غير حكومية، وطلبان من آليات وقائية وطنية.,4,ومن بين هذه المشاريع المقبولة، ورد 11 طلباً من هيئات حكومية، و17 طلباً من منظمات غير حكومية، وطلبان من آليات وقائية وطنية.,4
"No one can match us, sir!",لا أحد يُمْكِنُ أَنْ يَجارينا، سيد!,4,لا أحد يُمْكِنُ أَنْ يَجارينا، سيد,4,لا يمكن لأحد أن يضاهينا يا سيدي,4,لا أحد يُمْكِنُ أَنْ يَجارينا، سيد!,4,لا أحد يُمْكِنُ أَنْ يَجارينا، سيد!,4,لا أحد يُمْكِنُ أَنْ يَجارينا، سيد,4,لا أحد يُمْكِنُ أَنْ يَجارينا، سيد!,4,لا أحد يُمْكِنُ أَنْ يَجارينا، سيد!,4
(a) The open invitation extended by the Government of the Islamic Republic of Iran to all human rights thematic monitoring mechanisms in April 2002 and the cooperation extended to the special procedures of the Commission on Human Rights during their visits;,(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية إلى جميع آليات الرصد المواضيعي لحقوق الإنسان في نيسان/أبريل 2002 والتعاون الذي أبدته للإجراءات الخاصة التابعة للجنة حقوق الإنسان خلال زياراتها؛,4,(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية إلى جميع آليات الرصد المواضيعي لحقوق الإنسان في نيسان/أبريل 2002 والتعاون الذي أبدته للإجراءات الخاصة للجنة حقوق الإنسان أثناء زياراتها؛,4,(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية إلى جميع آليات الرصد المواضيعي لحقوق الإنسان في نيسان/أبريل 2002 والتعاون الذي أبدته للإجراءات الخاصة التابعة للجنة حقوق الإنسان أثناء زياراتها؛,4,(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية إلى جميع آليات الرصد المواضيعي لحقوق الإنسان في نيسان/أبريل 2002 والتعاون الذي أبدته للإجراءات الخاصة التابعة للجنة حقوق الإنسان أثناء زياراتها؛,4,(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية إلى جميع آليات الرصد المواضيعي لحقوق الإنسان في نيسان/أبريل 2002 والتعاون الذي أبدته للإجراءات الخاصة للجنة حقوق الإنسان أثناء زياراتها؛,4,(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية إلى جميع آليات الرصد المواضيعي لحقوق الإنسان في نيسان/أبريل 2002 والتعاون الذي أبدته للإجراءات الخاصة التابعة للجنة حقوق الإنسان خلال زياراتها؛,4,(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية إلى جميع آليات الرصد المواضيعي لحقوق الإنسان في نيسان/أبريل 2002 والتعاون الذي أبدته للإجراءات الخاصة التابعة للجنة حقوق الإنسان خلال زياراتها؛,4,(أ) الدعوة المفتوحة التي وجهتها حكومة جمهورية إيران الإسلامية إلى جميع آليات الرصد المواضيعي لحقوق الإنسان في نيسان/أبريل 2002 والتعاون الذي أبدته للإجراءات الخاصة للجنة حقوق الإنسان خلال زياراتها؛,4
We've got her trapped.,لقد حاصرناها,4,لقد حاصرناها,4,لقد حاصرناها,4,لقد حاصرناها,4,لقد حاصرناها,4,لقد أوقعنا بها,4,لقد حاصرناها,4,لقد حاصرناها,4
"Therefore, the need for a better balance between general- and special-purpose income is urgently required in order to respond quickly and flexibly to new programme challenges and opportunities, as well as to sustain a minimum level considered necessary for the biennial support budget.",ولذلك، فإن الحاجة ماسة إلى تحقيق توازن أفضل بين الإيرادات العامة الغرض والإيرادات الخاصة الغرض من أجل الاستجابة بسرعة ومرونة للتحديات والفرص البرنامجية الجديدة، وكذلك للحفاظ على حد أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,4,ولذلك، فإن الحاجة ماسة إلى تحقيق توازن أفضل بين الإيرادات العامة الغرض والإيرادات المخصصة الغرض من أجل الاستجابة بسرعة ومرونة للتحديات والفرص البرنامجية الجديدة، فضلا عن الحفاظ على حد أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,4,ولذلك، هناك حاجة ماسة إلى توازن أفضل بين الإيرادات العامة الغرض والإيرادات الخاصة الغرض من أجل الاستجابة بسرعة ومرونة للتحديات والفرص البرنامجية الجديدة، وكذلك من أجل الحفاظ على حد أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,4,ولذلك فإن الحاجة ماسة إلى تحقيق توازن أفضل بين الإيرادات العامة الغرض والإيرادات المخصصة الغرض من أجل الاستجابة بسرعة ومرونة للتحديات والفرص البرنامجية الجديدة، وكذلك من أجل الحفاظ على حد أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,4,ولذلك فإن الحاجة ماسة إلى تحقيق توازن أفضل بين الإيرادات العامة الغرض والإيرادات المخصصة الغرض من أجل الاستجابة بسرعة ومرونة للتحديات والفرص البرنامجية الجديدة، وكذلك من أجل الحفاظ على حد أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,4,ولذلك، فإن الحاجة ماسة إلى تحقيق توازن أفضل بين الإيرادات العامة الغرض والإيرادات المخصصة الغرض من أجل الاستجابة بسرعة ومرونة للتحديات والفرص البرنامجية الجديدة، وكذلك للحفاظ على مستوى أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,4,ولذلك، فإن الحاجة ماسة إلى تحقيق توازن أفضل بين الإيرادات العامة الغرض والإيرادات المخصصة الغرض من أجل الاستجابة بسرعة ومرونة للتحديات والفرص البرنامجية الجديدة، وكذلك للحفاظ على مستوى أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,4,ولذلك، فإن الحاجة ماسة إلى تحقيق توازن أفضل بين الإيرادات العامة الغرض والإيرادات المخصصة الغرض من أجل الاستجابة بسرعة ومرونة للتحديات والفرص البرنامجية الجديدة، فضلا عن الحفاظ على حد أدنى يعتبر ضروريا لميزانية الدعم لفترة السنتين.,4
"Though I would definitely appreciate the beauty of the gazelle, if I was going to take a trip to Africa,",على الرغم من أنني بالتأكيد سأقدر جمال الغزال إذا كنت سأذهب في رحلة إلى أفريقيا,4,على الرغم من أنني بالتأكيد سوف نقدر جمال الغزال، إذا كنت ذاهبا للقيام برحلة إلى أفريقيا،,3,على الرغم من أنني بالتأكيد سأقدر جمال الغزالة إذا كنت سأذهب في رحلة إلى أفريقيا,4,على الرغم من أنني بالتأكيد سأقدر جمال الغزال إذا كنت سأذهب في رحلة إلى أفريقيا,4,على الرغم من أنني بالتأكيد سأقدر جمال الغزال إذا كنت سأذهب في رحلة إلى أفريقيا,4,على الرغم من أنني بالتأكيد سأقدر جمال الغزال، إذا كنت سأذهب في رحلة إلى أفريقيا،,4,على الرغم من أنني بالتأكيد سأقدر جمال الغزال إذا كنت سأذهب في رحلة إلى أفريقيا,4,على الرغم من أنني بالتأكيد سأقدر جمال الغزال إذا كنت سأذهب في رحلة إلى أفريقيا,4
The National Bar Association is the only mainstream organization of African American attorneys that holds special consultative status with the Economic and Social Council.,ونقابة المحامين الوطنية هي المنظمة الرئيسية الوحيدة للمحامين الأمريكيين الأفارقة التي تتمتع بمركز استشاري خاص لدى المجلس الاقتصادي والاجتماعي.,4,ورابطة المحامين الوطنية هي المنظمة الرئيسية الوحيدة للمحامين الأمريكيين من أصل أفريقي التي تتمتع بمركز استشاري خاص لدى المجلس الاقتصادي والاجتماعي.,4,ورابطة المحامين الوطنية هي المنظمة الوحيدة السائدة التي تتمتع بمركز استشاري خاص لدى المجلس الاقتصادي والاجتماعي.,2,ورابطة المحامين الوطنية هي المنظمة الرئيسية الوحيدة للمحامين الأمريكيين من أصل أفريقي التي تتمتع بمركز استشاري خاص لدى المجلس الاقتصادي والاجتماعي.,4,ورابطة المحامين الوطنية هي المنظمة الرئيسية الوحيدة للمحامين الأمريكيين من أصل أفريقي التي تتمتع بمركز استشاري خاص لدى المجلس الاقتصادي والاجتماعي.,4,الرابطة الوطنية للمحامين هي المنظمة الرئيسية الوحيدة للمحامين الأمريكيين من أصل أفريقي التي تتمتع بمركز استشاري خاص لدى المجلس الاقتصادي والاجتماعي.,4,ونقابة المحامين الوطنية هي المنظمة الرئيسية الوحيدة للمحامين الأمريكيين الأفارقة التي تتمتع بمركز استشاري خاص لدى المجلس الاقتصادي والاجتماعي.,4,ورابطة المحامين الوطنية هي المنظمة الرئيسية الوحيدة للمحامين الأمريكيين من أصل أفريقي التي تتمتع بمركز استشاري خاص لدى المجلس الاقتصادي والاجتماعي.,4
What?,‫ماذا؟,4,مـاذا ؟,4,ماذا؟,4,‫ماذا؟,4,‫ماذا؟,4,ماذا؟,4,‫ماذا؟,4,‫ماذا؟,4
"As you can see, I'm a woman just like you.",كما ترون، أنا امرأة مثلك تماما.,4,كما ترى، أنا إمرأة مثلك تماماً,4,كما ترى، أنا إمرأة مثلك,4,كما ترى، أنا إمرأة مثلك تماماً,4,كما ترى، أنا إمرأة مثلك تماماً,4,كما ترى أنا إمرأة مثلك,4,كما ترون، أنا امرأة مثلك تماما.,4,كما ترى، أنا إمرأة مثلك تماماً,4
Slovakia believes that the scope of the treaty will be determined by definitions embodied in the treaty.,وتعتقد سلوفاكيا أن نطاق المعاهدة ستحدده التعاريف الواردة في المعاهدة.,4,وتعتقد سلوفاكيا أن نطاق المعاهدة سيتحدد بالتعاريف الواردة في المعاهدة.,4,وتعتقد سلوفاكيا أن نطاق المعاهدة ستحدده التعاريف الواردة في المعاهدة.,4,وتعتقد سلوفاكيا أن نطاق المعاهدة ستحدده التعاريف الواردة في المعاهدة.,4,وتعتقد سلوفاكيا أن نطاق المعاهدة ستحدده التعاريف الواردة في المعاهدة.,4,وترى سلوفاكيا أن نطاق المعاهدة ستحدده التعاريف الواردة في المعاهدة.,4,وتعتقد سلوفاكيا أن نطاق المعاهدة ستحدده التعاريف الواردة في المعاهدة.,4,وتعتقد سلوفاكيا أن نطاق المعاهدة ستحدده التعاريف الواردة في المعاهدة.,4
